experiment,object,model,ratio,psnr,kid,ssim,lpips,accuracy,roc_auc,human_score,psnr_n,kid_n,ssim_n,lpips_n,accuracy_n,roc_auc_n,human_score_n,composite_score,pca_score,human_fused
donut_50_50_DM,donut,DM,50_50,15.502,0.05396,0.4122,0.4465,0.9425287356321839,0.9998670212765958,4.3375,0.0,0.0,0.0,0.0,0.8927203065134098,0.9991489361702129,0.9485714285714286,0.5680881342510102,-1.1653280184698132,4.334274999999995
donut_70r_30s_GAN,donut,GAN,70r_30s,17.248,0.02978,0.4279,0.3099,0.8735632183908046,0.9980053191489362,2.7074999999999996,0.4476923076923078,0.6287051482059283,0.06618887015177063,0.5023905847738139,0.763984674329502,0.9872340425531917,0.20342857142857115,0.5554271487446351,-0.1844841949575061,2.6797399999999993
donut_100real_GAN,donut,GAN,100real,17.248,0.02978,0.4279,0.3099,1.0,1.0,2.8125,0.4476923076923078,0.6287051482059283,0.06618887015177063,0.5023905847738139,1.0,1.0,0.25142857142857133,0.6147834053680963,-0.22462229772169837,2.829019999999998
donut_30r_70s_DM,donut,DM,30r_70s,15.502,0.05396,0.4122,0.4465,0.9540229885057471,1.0,4.2924999999999995,0.0,0.0,0.0,0.0,0.9141762452107278,1.0,0.9279999999999997,0.5684352490421456,-1.1620012286820014,4.276570000000003
donut_100real_DM,donut,DM,100real,15.502,0.05396,0.4122,0.4465,0.9885057471264368,0.9993351063829787,4.45,0.0,0.0,0.0,0.0,0.978544061302682,0.9957446808510639,1.0,0.5948577484307491,-1.188549864046456,4.424799999999994
donut_30r_70s_GAN,donut,GAN,30r_70s,17.248,0.02978,0.4279,0.3099,0.9885057471264368,0.997872340425532,2.5675,0.4476923076923078,0.6287051482059283,0.06618887015177063,0.5023905847738139,0.978544061302682,0.9863829787234046,0.1394285714285713,0.5853688133733137,-0.18970825086907983,2.5841499999999975
donut_100syn_DM,donut,DM,100syn,15.502,0.05396,0.4122,0.4465,0.9942528735632183,1.0,4.225,0.0,0.0,0.0,0.0,0.989272030651341,1.0,0.8971428571428569,0.5772829775588396,-1.1615054990205507,4.241290000000004
donut_50_50_GAN,donut,GAN,50_50,17.248,0.02978,0.4279,0.3099,0.9425287356321839,0.9988031914893617,2.6375,0.4476923076923078,0.6287051482059283,0.06618887015177063,0.5023905847738139,0.8927203065134098,0.9923404255319148,0.17142857142857143,0.5757955517771614,-0.18998336719722042,2.6596199999999963
donut_70r_30s_DM,donut,DM,70r_30s,15.502,0.05396,0.4122,0.4465,0.9942528735632183,0.999468085106383,4.382499999999999,0.0,0.0,0.0,0.0,0.989272030651341,0.996595744680851,0.9691428571428568,0.5910021264950097,-1.1812021213763655,4.388349999999995
donut_100syn_GAN,donut,GAN,100syn,17.248,0.02978,0.4279,0.3099,0.8735632183908046,0.9914893617021275,2.4625,0.4476923076923078,0.6287051482059283,0.06618887015177063,0.5023905847738139,0.763984674329502,0.9455319148936162,0.0914285714285713,0.52468672321272,-0.14897084927641785,2.4697200000000006
croissant_50_50_DM,croissant,DM,50_50,17.95,0.0155,0.6095,0.2188,0.9642857142857143,1.0,4.1725,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.9333333333333333,1.0,0.8731428571428572,0.8909872445104602,0.41191334582838396,4.172260000000006
croissant_70r_30s_GAN,croissant,GAN,70r_30s,19.402,0.02128,0.6494,0.1746,0.8571428571428571,0.975,2.5705,1.0,0.8497139885595424,1.0,1.0,0.7333333333333333,0.8399999999999999,0.14079999999999993,0.7277980655226208,0.9206704352651431,2.56844
croissant_100real_GAN,croissant,GAN,100real,19.402,0.02128,0.6494,0.1746,1.0,1.0,2.7025,1.0,0.8497139885595424,1.0,1.0,1.0,1.0,0.20114285714285712,0.8251999702845255,0.8585206123361645,2.768169999999996
croissant_30r_70s_DM,croissant,DM,30r_70s,17.95,0.0155,0.6095,0.2188,0.9642857142857143,1.0,4.1815,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.9333333333333333,1.0,0.8772571428571426,0.8918101016533173,0.41076764983488784,4.180495000000007
croissant_100real_DM,croissant,DM,100real,17.95,0.0155,0.6095,0.2188,0.8571428571428571,1.0,4.15,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.7333333333333333,1.0,0.862857142857143,0.8489301016533173,0.43634201913488185,4.158444999999997
croissant_30r_70s_GAN,croissant,GAN,30r_70s,19.402,0.02128,0.6494,0.1746,1.0,1.0,2.3945,1.0,0.8497139885595424,1.0,1.0,1.0,1.0,0.060342857142857,0.7970399702845256,0.8977288752247021,2.5079499999999966
croissant_100syn_DM,croissant,DM,100syn,17.95,0.0155,0.6095,0.2188,0.9285714285714286,1.0,4.195,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.8666666666666667,1.0,0.8834285714285715,0.8797110540342696,0.4162372502855625,4.187064999999999
croissant_50_50_GAN,croissant,GAN,50_50,19.402,0.02128,0.6494,0.1746,0.9642857142857143,0.9937499999999999,2.4825,1.0,0.8497139885595424,1.0,1.0,0.9333333333333333,0.9599999999999994,0.10057142857142846,0.7837523512369065,0.897863084822164,2.477639999999995
croissant_70r_30s_DM,croissant,DM,70r_30s,17.95,0.0155,0.6095,0.2188,0.9285714285714286,1.0,4.1635,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.8666666666666667,1.0,0.8690285714285714,0.8768310540342696,0.42024718626279933,4.1684350000000014
croissant_100syn_GAN,croissant,GAN,100syn,19.402,0.02128,0.6494,0.1746,0.4642857142857143,0.84375,2.2625,1.0,0.8497139885595424,1.0,1.0,0.0,0.0,0.0,0.3849713988559542,1.1260652326224192,2.3218099999999957
